,date,renderedContent,retweetCount,likeCount,quoteCount,viewCount,Sentiment Score
0,2023-04-17 23:47:58+00:00,@Yankees Need to get rid of Hicks and Donaldson and eat the money.  Eating it with them and they are dragging the team down.,0,1,0,48.0,neutral
1,2023-04-17 23:21:15+00:00,"Yankee fans we are being tested again. When Bader comes back, it's him Judge and Cabrera in the OF. DH will be rotated between DJ, Donaldson, Judge and Calhoun and Franchy. Hicks and IKF only play once a week, if that. There's no MILB help coming. No trade coming. Buckle up 🙏🙏",1,5,1,562.0,negative
2,2023-04-17 23:20:25+00:00,"@KMcAwsome Sanchez was signed by the Giants.
He DFA Estrada to keep Tyler Wade. Mateo is the Orioles starting SS. Donaldson not only suvks but eats up $25M in payroll.
Prospect hugged Andujar. Frazier, Florial and got zero back.
His bad moves easily outnumber the good ones. He's a crap GM",0,0,0,46.0,positive
3,2023-04-17 22:43:50+00:00,"10-6 without Rodon, Sevy, Montas, Loaisiga, Trivino, Kahnle, Bader, and injuries to Stanton and Donaldson is quite impressive.",0,0,0,46.0,positive
4,2023-04-17 22:24:17+00:00,"If we don’t trade peraza soon I’d be surprised. There’s no way that volpe, dj, Cabrera, Donaldson all fit on this roster and we already know Donaldson isn’t going anywhere till November.. #yankees #YankeesTwitter",0,0,0,140.0,positive
5,2023-04-17 21:58:15+00:00,@FiresideYankees The one issue is Donaldson is an excellent defensive 3b,0,0,0,86.0,positive
6,2023-04-17 20:39:47+00:00,Literally 90% of the Red Sox players suck but I will say Justin turner is sooo much better than Josh Donaldson lol. Yankees cud use turner,0,1,0,125.0,positive
7,2023-04-17 18:40:41+00:00,"Again this is damning to Cashman’s ability to construct a roster. As with Florial, Brewer clears waivers. Twice now this season the Yankees had players on the active roster that nobody else in baseball wants. Hicks, Donaldson are of the same ilk.",1,0,0,187.0,positive
8,2023-04-17 18:19:15+00:00,"Yankees To Ease Josh Donaldson Back In

LineStarApp.com/News/Article/M…",0,0,0,213.0,positive
9,2023-04-17 18:17:10+00:00,Yankees To Ease Josh Donaldson Back In rotoballer.com/player-news/ya…,0,0,0,731.0,positive
10,2023-04-17 18:16:47+00:00,@Yankees Good promotions but Where are the DFA Aaron Hicks and Josh Donaldson nights. Asking for a friend…,3,69,0,5942.0,positive
11,2023-04-17 18:13:34+00:00,"@Yankees Looks like it’s a tear now. 4-6 weeks. Guy has only played in 40% of games since coming to the Yankees. Kiss another year of a championship away. Until stanton, hicks and donaldson are off this team they are not winning anything except a waste of money trophy.",0,0,0,5.0,positive
12,2023-04-17 18:12:14+00:00,"@JLasagna43 Rodon and Sevy will come back and dominate. The Yankees will go and win the World Series. Also, Donaldson is a good injury. One less instant out to worry about.",0,0,0,13.0,positive
13,2023-04-17 18:02:38+00:00,"@JoeyBat69598037 @bkabak Yes, the Yankees, starting Hicks and Josh Donaldson are really intent on putting a “full team” out there. Have you followed them the last few years? Where they’ve gone into every season without a full rotation and staring several second division regulars?",0,0,0,27.0,positive
14,2023-04-17 18:00:33+00:00,@Yankees When do we DFA Hicks and Donaldson?,0,13,0,1133.0,neutral
15,2023-04-17 17:30:59+00:00,"I'd be perfectly happy with an infield of Rizzo, Gleyber, Peraza, and Volpe. LeMahieu can split time between 3B and DH until Stanton returns. The Yankees should just eat the rest of Donaldson's contract and DFA him.",2,7,0,622.0,positive
16,2023-04-17 17:22:28+00:00,"injured yankees: 

sevy
rodon
bader
stanton
donaldson
trivino
loaisiga
kahnle
montas
effross
gil

what the fuck are we paying a conditioning coach for?",0,0,0,31.0,negative
17,2023-04-17 17:04:06+00:00,@JoeYankeetho @Nyanasaur @RyanGarciaESM Jackie Donaldson?,0,0,0,178.0,neutral
18,2023-04-17 16:43:58+00:00,"It’s april 17th, 2023 and that motherfucker aaron hicks is still on the yankees https://t.co/70OflLfCBe",0,0,0,35.0,negative
19,2023-04-17 16:00:48+00:00,If Stanton misses more time than the possible 2 months and Donaldson is a dud the Yankees need to add a power bat to this lineup. Left Field and now DH are real places for upgrade. Cordero’s hot start will help for now.,0,0,0,74.0,negative
