,date,renderedContent,retweetCount,likeCount,quoteCount,viewCount,Sentiment Score
0,2023-04-17 23:43:11+00:00,"Isaiah Kiner-Falefa's trade destinations: Top 5 landing spots for the defamed Yankees utility man
newsfet.com/isaiah-kiner-f…",0,0,0,14.0,positive
1,2023-04-17 23:21:15+00:00,"Yankee fans we are being tested again. When Bader comes back, it's him Judge and Cabrera in the OF. DH will be rotated between DJ, Donaldson, Judge and Calhoun and Franchy. Hicks and IKF only play once a week, if that. There's no MILB help coming. No trade coming. Buckle up 🙏🙏",1,5,1,562.0,negative
2,2023-04-17 22:47:56+00:00,"@bj82 @angel_rodriguez @YankeeSource Tbh, that probably was never an honest competition. IKF was never going to return to everyday SS and the Yankees seem to have something against Peraza",0,0,0,66.0,negative
3,2023-04-17 20:55:46+00:00,@Yankees IKF needs to start on Hawaiian shirt day (that shirt goes so hard),0,0,0,169.0,negative
4,2023-04-17 20:36:25+00:00,"@Yankees Now do @AaronHicks31 #Joshdonaldosn #IKF The only team of all @MLB with 3 automatic outs on their roster. #Briancashman what are you waiting for? This is only going to get worse. Your mess, you fix it.",0,0,0,65.0,negative
5,2023-04-17 20:20:45+00:00,"@Srechter7 Yeah. I’d rather see Cabrera fail than keep running Hicks out there. I’d rather see Volpe struggle than IKF out there.

I’m not saying it’s wrong to want to play the kids. But I think some people assumed it would solve a bunch of our problems. That’s not how it works.",0,1,0,112.0,negative
6,2023-04-17 20:10:39+00:00,I WILL PAY AN UNGODLY AMOUNT OF MONEY FOR THE SLYTHERIN YANKEE HAT,0,1,0,41.0,negative
7,2023-04-17 18:33:46+00:00,Neither IKF or Hicks have any place anywhere near the @Yankees!,1,1,0,232.0,neutral
8,2023-04-17 18:08:37+00:00,"@rational_yankee This is exactly why the Yankees did not trade Gleyber in the offseason. I'm ok with one starting because any of them would be better than IKF, but having both Volpe and Peraza just makes it sound as if fans want our lineup to be even more inconsistent.",1,2,0,119.0,positive
9,2023-04-17 16:47:44+00:00,"@AceofYankees @DeversDeepState @NY_EvilEmpire @ChinaJoeFlynn Yep, the depth chart for ss if the guy in front of them gets hurt rn is probably 

Volpe
Peraza
Cabrera
IKF
Torres",0,2,0,144.0,negative
10,2023-04-17 16:37:27+00:00,@Yankees @FDSportsbook That catch from IKF was great. Happy to see him perform,1,2,0,228.0,positive
11,2023-04-17 16:36:36+00:00,@Yankees @FDSportsbook Ikf really is so much better at 3rd,0,4,0,348.0,positive
12,2023-04-17 16:01:48+00:00,@NY_EvilEmpire @YankeeWRLD @ChinaJoeFlynn Who are the Yankees throwing out at short if volpe torres and ikf are all injured,0,0,0,200.0,negative
13,2023-04-17 15:52:41+00:00,"While Yankees tanked against Twins, IKF (38-mph!) was the show we needed | Klapisch nj.com/yankees/2023/0…",0,0,0,18.0,neutral
14,2023-04-17 15:24:36+00:00,"#Yankees - I get it btw. For me, it’s of course the injuries &amp; the quality of the current bench (statistically, not suggesting it’s good enough, but IKF/Hicks/Donaldson almost can’t actually be this bad - not that I want any of them in a perfect world). (2/",0,0,0,25.0,negative
15,2023-04-17 13:36:18+00:00,"@MikeCFromNJ DFA IKF and promote Peraza, problem solves, it's not like IKF is playing OF that much anyway",0,4,0,897.0,positive
16,2023-04-17 13:26:04+00:00,"@BronxMuchachos1 JD, IKF &amp; Hicks are done with the Yankees. This kid should be getting DH AB's now, with Stanton being out for weeks. There is a lot of POP there.",0,1,0,18.0,neutral
17,2023-04-17 12:52:52+00:00,Isiah Kiner-Falefa 2022 Topps Chrome Ben Baller Superfractor 1/1 yankees  #ad #baseballcards  ebay.com/itm/Isiah-Kine…,0,0,0,58.0,neutral
18,2023-04-17 11:59:53+00:00,"Isiah Kiner-Falefa is a shortstop for the New York Yankees
He has 9 ground outs, has been left on base 10 times, and has 22 at bats this season ⚾
#RepBX 
#MLB https://t.co/XqjLkZzgk6",0,0,0,24.0,neutral
19,2023-04-17 07:34:27+00:00,"@cmbyrdalot @Yankees Stanton gets injured and they call up peraza until Donaldson back on Wednesday lol. Calhoun, hicks, Donaldson, and IKF aren’t helping us win. Peraza, volpe, and Oswaldo make our team look 100x better lol but we rather rely on washed up guys who strike out every at bat",0,0,0,30.0,positive
20,2023-04-17 05:48:50+00:00,It’s too many Yankees fans rooting for IKF and Donaldson.. and I don’t like that,0,0,0,16.0,positive
21,2023-04-17 04:44:15+00:00,"@HoodieFrazier The @yankees just won’t let go of these older players. If they want to keep them, fine. But starting is a no. Hicks, JD &amp; IKF should be backup players. Cabrera, Peraza, Volpe and Cordero should be on the field. Once Bader comes back, one of the old guys needs to go.",0,1,0,31.0,positive
22,2023-04-17 03:06:49+00:00,@ToneyTouchdown For those that don’t know the Yankees are trading Donaldson and IKF for Acuna,1,1,0,159.0,neutral
23,2023-04-17 01:10:40+00:00,"Yankees' Isiah Kiner-Falefa breaks silence on pitching vs. Twins
 #MinnesotaTwins #NewYorkYankees
tinyurl.com/29ptsofg",0,0,0,28.0,neutral
24,2023-04-17 01:01:14+00:00,"Yankees' Isiah Kiner-Falefa breaks silence on pitching vs. Twins
 #MinnesotaTwins #NewYorkYankees
tinyurl.com/2397huhv",0,0,0,37.0,neutral
25,2023-04-17 00:28:48+00:00,"@Medic968 The Yankees fans really are tired of Hicks, IKF and Donaldson …if they don’t perform the fans will be merciless",0,2,0,111.0,negative
26,2023-04-17 00:23:12+00:00,"@grudz2 They are nothing but roster cloggers. Remember last year alone Cashman gave us IKF, Gallo,Donaldson and Montas and still got an extension…….@Yankees",0,3,0,120.0,negative
27,2023-04-17 00:20:14+00:00,"@FourSavages Why? Why would Cashman give 6 million to IKF and clog up a roster spot when Yankees have Peraza, Volpe, and Cabrera?
@Yankees",0,0,0,79.0,neutral
28,2023-04-16 23:17:45+00:00,@NjTank99 Agreed. Should trade him to the Yankees for IKF.,0,1,0,602.0,positive
29,2023-04-16 22:25:35+00:00,@HalToHell I hate him I hate every Yankee except IKF and maybe Judge,0,1,0,105.0,negative
30,2023-04-16 21:29:27+00:00,Hicks and IKF should be replaces ASAP with Chaparro and Dunham. @Yankees,1,2,0,316.0,neutral
31,2023-04-16 19:46:31+00:00,Poverty franchise Minnesota twins just lost to the banana man,1,1,0,45.0,negative
32,2023-04-16 19:27:32+00:00,"I was just looking at baseball reference team stats page for the Yankees.  They have Aaron Hicks down for an OPS+ of 1

IKF has an OPS+ of -49.

Those are two extremely costly roster spots right now.  Plenty of season left but, this is not a great start for either of these guys",0,2,0,454.0,negative
33,2023-04-16 19:21:03+00:00,I love unicorn home runs,0,0,0,23.0,positive
34,2023-04-16 19:19:53+00:00,"Roster problem for the #Yankees - Hicks, Calhoun, IKF &amp; Donaldson really have no business on the same roster. I can accept 1 of them perhaps, but 4?  They need Bader, Peraza (3B), and 1 of Dunham/Perriera/Dominguez (LF) to make this team more formidable. #RepBX",0,2,0,122.0,negative
35,2023-04-16 18:56:33+00:00,Volpe already has seven steals this season. IKF led the #Yankees with 22 steals last season. Volpe is really good at stealing bases.,0,0,0,60.0,negative
36,2023-04-16 18:49:15+00:00,"@BrendanQ_1999 1) How are you so sure about the Pirates? It’s a different club this year. Much better ball club. McCutchen has revitalized them. 

2) You’re banking on health for all of them + production from IKF and JD. Big yikes. 

3) Agreed, but Peraza is still worth more than a LF.",0,0,0,38.0,positive
37,2023-04-16 18:18:44+00:00,@YankeesFiles There’s a part of me that wants Yankees fans to get the lineup of 9 IKF’s they think they want just so they start to clamor for more home runs and walks lol,0,1,0,74.0,positive
38,2023-04-16 18:12:23+00:00,"@RiverAveBlues You can tell yankees are going to treat Peraza like garbage like did with andujar sending him back and forth to triple a when he should be up in majors now. Donaldson hicks, and falefa won’t go away with",0,2,0,49.0,positive
39,2023-04-16 17:21:18+00:00,"Elijah Dunham and Andres Chaparro have combined to play 24 games above AA.

Hicks, JD, and IKF aren't blocking Peraza. Volpe, Gleyber, DJ, and Oswaldo are.",0,12,0,1065.0,positive
40,2023-04-16 17:14:50+00:00,Idk why the Yankees still have IKF,0,1,0,61.0,negative
41,2023-04-16 17:14:38+00:00,"Yet the #Yankees keep bullshitting with Hicks, Donaldson and IKF.",0,0,0,64.0,neutral
42,2023-04-16 17:10:03+00:00,@jimg358 @Yankees DFA THEM! NEITHER IS HELPING IN THE LEAST BIT! IKF is batting .068!,0,1,0,24.0,negative
43,2023-04-16 17:07:03+00:00,@jimg358 @Yankees THEN HICKS AND IKF SHOULD GO NOT PERAZA!,0,1,0,19.0,neutral
44,2023-04-16 16:55:09+00:00,"Chaparro, Peraza and Durham could be options with Stanton out but the #Yankees will rot them out down there in AAA, while Hicks, IKF and Donaldson are on the team.

Compliance and Mediocrity as its finest.

That's why we are on a drought because this motherfucker Brian Cashman.",0,2,0,74.0,negative
45,2023-04-16 16:53:12+00:00,"There's no depth lol. #Yankees have the worst bench of the major league baseball. 

IKF, Hicks, Calhoun, Higgy, Cordero (his hot run is unsustainable).",0,0,0,63.0,negative
46,2023-04-16 16:51:29+00:00,"@Ashley_Dyane There's other players? Hicks, Donaldson, IKF, Calhoun?",0,0,0,15.0,neutral
47,2023-04-16 16:32:25+00:00,"IKF
Donaldson
Hicks

The hole trinity of mediocrity launched by Brian McGuire Cashman. #Yankees

HM: Calhoun.",0,0,0,25.0,positive
48,2023-04-16 16:30:54+00:00,"I haven’t paid enough attention to realize this. But every time a position player goes down, Peraza is basically the only one who can come up no matter who it is.

Having Cabrera and IKF being able to play multiple positions makes it not a big deal I guess.",0,1,0,285.0,positive
49,2023-04-16 16:24:41+00:00,"This Stanton injury bails the Yanks out of having to part with either IKF or Hicks when Donaldson and Bader return.   Now they can simply demote Calhoun and Peraza, and they can keep their beloved pair of Hicks and IKF. #Yankees",1,29,0,1094.0,positive
50,2023-04-16 16:21:11+00:00,"@Rush2112GAN @UncleGusNyc @emarin671 @Yankees @NickTurturro1 @titletownusa73 @JosephZampano @mikef3825 @JJFarrell451 @StephenMackey18 @AdeleSellsNJ Hal is concerned with just filling seats and making playoffs. He allowed Cashman to blame the fans in the offseason after the GM made some of the worst moves last year since taking over. He saddled us with Donaldson, IKF, and Montas..🤮",0,2,0,30.0,negative
51,2023-04-16 16:07:44+00:00,EXZCUSE ME???? WHEN IKF IS LITERALLY WASTING A ROSTER SPOT? STOP SPREADING THE @Yankees PROPOGANA LIES!,1,1,0,263.0,negative
52,2023-04-16 16:07:15+00:00,@BrendanKutyNJ absolutely need AB's for the likes of Kiner Falefa and the great Aaron Hicks...... Yankees can't cut Hicks then they would have to admit that signing him was a total disaster. #nyyankees,0,3,0,137.0,positive
53,2023-04-16 15:58:20+00:00,"Bigger problems with the Yankees roster than Stanton's penchant for injury:

Hicks
IKF
Donaldson",0,0,0,34.0,negative
54,2023-04-16 15:57:00+00:00,"The #Yankees are prioritizing Hicks, JD, and IKF over Peraza, Dunham, and Chapparo. Who would all make this team much more exciting and fun to watch. The #Yankees are an ass backwards organization. Point blank.",37,346,7,25684.0,positive
55,2023-04-16 15:50:43+00:00,"Can't wait for Boone to announce that ikf is the dh until stanton returns. Need his big bat in there.

#yankees
#repbx https://t.co/hywn9NudVs",3,16,0,1484.0,neutral
56,2023-04-16 15:42:37+00:00,@known2slayfish @GarysheffieldJr The trade wasn’t made to “get rid of Gary” it made for the Twins to get rid of Donaldson. Did Cashman misread the market for Gary &amp; Voit thinking teams would be looking to grab them up in the first year of DH in NL? Yes. But IKF trade made NYY better last season than without it.,0,0,0,212.0,positive
57,2023-04-16 15:41:39+00:00,@jc_dickinson @Yankees Of course he won’t play. They have elite players like IKF and Hicks who will be in until Stanton returns,0,0,0,130.0,positive
58,2023-04-16 15:40:50+00:00,THIS SHOULD GET BOONE FIRED ON THE SPOT FOR DEMOTING PERAZA OVER DFA A PLAYER LITERALLY WASTING A ROSTER SPOT WIHT HIS .068 BA IN IKF! @Yankees,1,1,0,283.0,negative
59,2023-04-16 15:35:39+00:00,"I haven’t been excited about the Yankees this year. Everyone is injured again, we have IKF and Donaldson playing.I get having a lefty at bat is cool but why is Calhoun on this team. Peraza is being sent down in a couple days, this team just doesn’t want to put the best product",0,0,0,14.0,positive
60,2023-04-16 15:32:41+00:00,"@Yankees PUT HIM IN THE LINEUP FFS

What's the point of giving more at bats to Willie Calhoun? Stop wasting his potential for scrubs. They did the same shit playing IKF over him last year.",0,0,0,30.0,negative
61,2023-04-16 15:30:07+00:00,Calling up Peraza to just send him down when Donaldson comes back is cruel. Kid is being treated very unfairly by the Yankees. Very unfairly,0,2,0,60.0,negative
62,2023-04-16 15:30:01+00:00,Boone saying Peraza goes down when Donaldson come back when IKF IS LITERALLY THE DEFINITION OF WASTING A ROSET SPOT! WHAT DIRT DOES IKF HAVE ON THE @Yankees TO KEEP BLACK MAILING HIS WAY TO STAY THE ROSTER? The #Yankees aren't a title team till TE CANCERS LIKE IKF ARE GONE!,1,1,0,321.0,negative
63,2023-04-16 15:28:55+00:00,"@Yankees So the team’s outfielders other than Judge are Hicks, Franchy, Calhoun IKF. Am I missing anyone?",0,3,0,4155.0,negative
64,2023-04-16 15:03:42+00:00,@yankees_28th Analytics dept desperately wanted IKF…,0,2,0,55.0,negative
65,2023-04-16 15:02:58+00:00,@rational_yankee No DJ in the lineup 🤷‍♀️ Or maybe the haters were right all along &amp; Cashman traded IKF for Mike Trout,0,0,0,35.0,negative
66,2023-04-16 15:02:21+00:00,"I don’t even know how calling up Peraza to replace Stanton would work. Especially with JD coming back. That’s six infielders on the roster, not counting Oswaldo Cabrera or IKF.",1,9,1,2442.0,neutral
67,2023-04-16 14:52:00+00:00,Only the @Yankees could violate the CBA so bad to emphatically fake a STANOTN injury just to call up Peraza when IKF HAS TO BE DFA'D ASAP! ASAP!,1,1,0,123.0,negative
68,2023-04-16 14:46:35+00:00,@baseballszn27 THEY AREN'T FALSE NARRATIVES! You cannot give up power in your lineup in such a brain dead fashion and notice NO YANKEES REPORTERS SAYINGANYTHING ABOUT STANOTN! IKF is batting UNDER .080.... WAKE UP!,0,1,0,25.0,negative
