,date,renderedContent,retweetCount,likeCount,quoteCount,viewCount,Sentiment Score
0,2023-04-17 23:56:09+00:00,@MargoLCroix Route 80.     Rt 46.  .....always a mess...my guess you are a Yankee fan..... heading to see Judge and  Shohei,0,1,0,74.0,positive
1,2023-04-17 23:50:10+00:00,"@CrankyYankeeFan @jmsiv99 @JLasagna43 Judge was a re-sign. In the good old days Cole, Rodon, Harper, and Machado would all be Yankees.",0,0,0,36.0,positive
2,2023-04-17 23:38:22+00:00,2017 Bowman's Best  #1 Aaron Judge NY Yankees RC Rookie Card- PSA 10 GEM MINT 💎  #ad #whodoyoucollect  ebay.com/itm/2017-Bowma…,0,0,0,49.0,positive
3,2023-04-17 23:29:32+00:00,@MalloMarrsss @Yankees The Judge one doesn’t even look like him either. I told you the one I have looks like him and that’s from Foco 😂,0,0,0,20.0,positive
4,2023-04-17 23:21:15+00:00,"Yankee fans we are being tested again. When Bader comes back, it's him Judge and Cabrera in the OF. DH will be rotated between DJ, Donaldson, Judge and Calhoun and Franchy. Hicks and IKF only play once a week, if that. There's no MILB help coming. No trade coming. Buckle up 🙏🙏",1,5,1,561.0,negative
5,2023-04-17 23:18:42+00:00,AARON JUDGE 2016 Bowman's Best Top Prospects Refractor PSA 10 GEM MINT Yankees  #tradingcards #sponsored  ebay.com/itm/AARON-JUDG…,0,0,0,31.0,positive
6,2023-04-17 23:13:38+00:00,@JustAnthonyC @jmsiv99 @JLasagna43 Like Gerrit Cole?  Aaron Judge?  Carlos Rodon?,0,0,0,128.0,positive
7,2023-04-17 23:12:26+00:00,@javien114 Get him like a Maris one or Yankees from his generation. He would appreciate it more than the hooligans from ours 😂,0,1,0,34.0,positive
8,2023-04-17 22:48:01+00:00,@BrendanQ_1999 Work for the Yankees and they never get a ring again or you’re homeless and the Yankees win 5 rings back to back to back to back to back,0,1,0,62.0,positive
9,2023-04-17 22:37:24+00:00,@JoeGiamp I don't even think it should have matter that he was going to take a discount.  As we saw the Yankees could have be out of the contract before Judge's extension kicked in if they want to pay him further in 2024.,0,0,0,16.0,neutral
