,date,renderedContent,retweetCount,likeCount,quoteCount,viewCount,Sentiment Score
0,2023-04-17 23:57:10+00:00,2020 Bowman 1st Edition ANTHONY VOLPE Yankees Rookie Card RC BGS 9.5 Gem Mint  #ad #whodoyoucollect  ebay.com/itm/2020-Bowma…,0,0,0,50.0,neutral
1,2023-04-17 23:43:29+00:00,Anthony Volpe Minor League 1st New York / Pulaski Yankees Rookie EXTREMELY RARE  #ad #baseballcards  ebay.com/itm/Anthony-Vo…,0,0,0,54.0,neutral
2,2023-04-17 22:57:53+00:00,@VonMillerElite @yankstakepolice @fuzzyfromyt It’s just not 🤡 “learn ball” all yankee fans are the same annoying losers💀 if it’s pitcher friendly then why is the right field called the short porch. Don’t rlly care to listen to a guy d*ck riding volpe and the Yankees 😭 even if he’s 7 feet tall wow what a shocker he hits62,0,0,0,36.0,positive
3,2023-04-17 22:32:22+00:00,"@BrendanQ_1999 Lindy or Trouba
Volpe or Gleyber
Igor or Henrik
Jalen or Amare
Knicks or Rangers
Yankees or rangers",0,1,0,107.0,neutral
4,2023-04-17 22:30:22+00:00,Congrats to @Sweetdeanna67 on winning the first giveaway!  Follow along for more opportunities like the Volpe RC giveaway going on now!,2,5,0,774.0,positive
5,2023-04-17 22:27:57+00:00,"What’s on the next episode of 1st Overall?

How about ball from the Empire State 🗽Those boomin’ @Yankees , @GerritCole45 on a tear, @Volpe_Anthony showin out and the @Mets with @kodaisenga solid looks and Batty coming up. Stay tuned! #repbx #lgm 

@NickPrasad34 @MikeRCummings",2,2,0,184.0,positive
6,2023-04-17 22:25:21+00:00,@BrendanQ_1999 Volpe or Gleyber,0,1,0,85.0,neutral
7,2023-04-17 22:24:17+00:00,"If we don’t trade peraza soon I’d be surprised. There’s no way that volpe, dj, Cabrera, Donaldson all fit on this roster and we already know Donaldson isn’t going anywhere till November.. #yankees #YankeesTwitter",0,0,0,140.0,positive
8,2023-04-17 22:05:45+00:00,2020 Anthony Volpe Bowman Chrome Refractor Rookie Card Yankees RC BD-178  #thehobby #ad  ebay.com/itm/2020-Antho…,0,0,0,50.0,neutral
9,2023-04-17 22:05:36+00:00,2002 Leaf Draft #1 Anthony Volpe Yankees Slabbed Signed Card BAS Beckett ebay.com/itm/1450403339… eBay https://t.co/WMyL5g54lw,0,0,0,36.0,neutral
